timestamp,x_position,y_position,violet,indigo,blue,cyan,green,yellow,orange,red
2025-10-01 12:42:58,9.5,1,644,5710,7141,5538,6760,5946,6860,4104
2025-10-01 12:43:00,9.5,0,560,5829,7350,5326,4885,3764,5151,2804
2025-10-01 12:43:02,9.5,3,1068,2876,4753,8630,20822,22136,23685,14927
2025-10-01 12:43:04,9.5,-3,1092,2330,4347,8962,9608,9068,10166,5984
2025-10-01 12:43:06,9.5,-2,483,5734,7268,4885,3624,2516,3745,1853
2025-10-01 12:43:08,9.5,2,521,5773,7282,4946,10154,9731,10888,6429
2025-10-01 12:43:10,9.5,-4,766,4154,5961,6724,4000,3045,4242,2357
2025-10-01 12:43:12,9.5,-1,642,5703,7139,5537,6308,5455,6373,3822
